word,star,1,2,3,4,5
A,***,,,,,
A,***,nida,,,,
AB,***,isim,,,,
ABA,***,isim,,,,
ABA,***,isim,,,,
ABAD,***,sifət,,,,
ABADAN,***,sifət,,,,
ABADANLANMAQ,***,isim,,,,
ABADANLAŞDIRILMA,***,isim,,,,
ABADANLAŞDIRILMAQ,***,fel,,,,
ABADANLAŞDIRMA,***,isim,,,,
ABADANLAŞDIRMAQ,***,fel,,,,
ABADANLAŞMA,***,fel,isim,,,
ABADANLAŞMAQ,***,isim,,,,
ABADANLIQ,***,isim,,,,
ABADLAŞDIRILMA,***,isim,,,,
ABADLAŞDIRILMAQ,***,fel,,,,
ABADLAŞDIRMA,***,fel,isim,,,
ABADLAŞDIRMAQ,***,fel,,,,
ABADLAŞMA,***,isim,,,,
ABADLAŞMAQ,***,fel,,,,
ABADLIQ,***,isim,,,,
ABAJUR,***,isim,,,,
ABAJURLU,***,sifət,,,,
ABAK,***,isim,,,,
ABALI,***,isim,,,,
ABASBƏYİ,***,isim,,,,
AB(B)ASI,***,isim,isim,,,
AB(B)ASILIQ,***,isim,,,,
ABBASİLƏR,***,isim,,,,
ABCO,***,isim,,,,
ABDAL,***,,isim,,,
ABDALLAŞMAQ,***,fel,,,,
ABDALLIQ,***,isim,,,,
ABDAR,***,sifət,,,,
ABDARLIQ,***,isim,,,,
ABDƏST,***,fel,isim,,,
ABDƏSTXANA,***,,,,,
ABDUQ,***,isim,,,,
ABERRASİYA,***,isim,,,,
ABGƏRDƏN,***,isim,,,,
ABGÜŞT,***,isim,,,,
"AB-HAVA, ABÜ",***,isim,,,,
AB-HAVALI,***,sifət,,,,
ABXAZ,***,isim,,,,
ABXOR,***,isim,,,,
ABI,***,sifət,,,,
ABIR,***,isim,,,,
ABIR-HƏYA,***,isim,,,,
ABIRLAMA,***,isim,,,,
ABIRLAMAQ,***,fel,,,,
ABIRLANMAQ,***,fel,,,,
ABIRLI,***,sifət,,,,
ABIRSIZ,***,sifət,,,,
ABIRSIZLIQ,***,isim,,,,
ABİD,***,isim,,,,
ABİDANƏ,***,zərf,,,,
ABİDƏ,***,isim,,,,
ABİDLƏŞMƏ,***,isim,,,,
ABİDLƏŞMƏK,***,fel,,,,
ABİDLİK,***,isim,,,,
ABİOGENEZ,***,isim,,,,
ABİSİ ́N,***,isim,,,,
ABİSSAL,***,sifət,,,,
ABİTURİYENT,***,isim,,,,
ABQORA,***,isim,,,,
"ABNOS, ABNUS",***,isim,,,,
ABOLİSİONİZM,***,isim,,,,
ABORDAJ,***,isim,,,,
ABORİGEN,***,isim,,,,
ABORT,***,isim,,,,
ABORTİV,***,isim,,,,
ABPAŞ,***,isim,,,,
ABRAZİYA,***,isim,,,,
ABREVİATURA,***,,,,,
ABRİZ,***,isim,,,,
ABRU,***,isim,,,,
ABSENTEİZM,***,isim,,,,
ABSES,***,isim,,,,
ABSOLYUT,***,isim,,,,
ABSORBSİYA,***,isim,,,,
ABSTİNENSİYA,***,isim,,,,
ABSTRAKSİYA,***,isim,,,,
ABSTRAKT,***,sifət,,,,
ABSTRAKTLAŞDIRILMA,***,isim,,,,
ABSTRAKTLAŞDIRILMAQ,***,fel,,,,
ABSTRAKTLAŞDIRMA,***,isim,,,,
ABSTRAKTLAŞDIRMAQ,***,fel,,,,
ABSTRAKTLAŞMA,***,fel,isim,,,
ABSTRAKTLAŞMAQ,***,fel,,,,
ABSURD,***,isim,,,,
ABULİYA,***,isim,,,,
ABUNƏ,***,isim,,,,
ABUNƏÇİ,***,isim,,,,
AC,***,zərf,sifət,,,
AC-ACINA,***,zərf,,,,
ACAR,***,isim,,,,
ACDIRAN,***,fsifət,,,,
ACDIRMA,***,isim,,,,
ACDIRMAQ,***,fel,,,,
ACGÖDƏN,***,sifət,,,,
ACGÖZ(LÜ),***,sifət,,,,
ACGÖZLÜK,***,,isim,,,
ACI,***,fel,isim,sifət,zərf,
ACIBALDIRĞAN,***,isim,,,,
ACIBİYAN,***,isim,,,,
ACICA,***,sifət,,,,
ACIÇİÇƏK,***,isim,,,,
ACIDİL(Lİ),***,sifət,,,,
ACIDİLLİ(Lİ)K,***,isim,,,,
ACIXƏMRƏ,***,isim,,,,
ACIİSTİOT,***,,,,,
ACIQ,***,isim,zərf,,,
ACIQARPIZ,***,isim,,,,
ACIQDIRMAQ,***,fel,,,,
ACIQICI,***,isim,,,,
ACIQ-QICIQ,***,isim,,,,
ACIQLANDIRMA,***,fel,isim,,,
ACIQLANDIRMAQ,***,fel,,,,
ACIQLANMA,***,isim,,,,
ACIQLANMAQ,***,fel,,,,
ACIQLI,***,sifət,zərf,,,
ACIQLILIQ,***,isim,,,,
ACIQMAQ,***,fel,,,,
ACIQOVUQ,***,isim,,,,
ACIQOVUN,***,isim,,,,
ACILAMA,***,fel,,,,
ACILAMAQ,***,fel,fel,,,
ACILAŞDIRILMA,***,fel,isim,,,
ACILAŞDIRILMAQ,***,fel,,,,
ACILAŞDIRMA,***,isim,,,,
ACILAŞDIRMAQ,***,fel,,,,
ACILAŞMA,***,isim,,,,
ACILAŞMAQ,***,fel,,,,
ACILATMAQ,***,fel,,,,
ACILI,***,sifət,,,,
ACILICA,***,isim,,,,
ACILIQ,***,isim,,,,
ACILIQOTU,***,isim,,,,
ACIMA,***,isim,,,,
ACIMA,***,isim,,,,
ACIMAQ,***,fel,,,,
ACIMAQ,***,fel,,,,
ACIMIŞ,***,fsifət,,,,
"ACIMSOV, ACIMTIL, ACIMTRAQ",***,sifət,,,,
"ACIMTILLIQ, ACIMTRAQLIQ",***,isim,,,,
ACINACAQ(LI),***,sifət,,,,
ACINDIRICI,***,sifət,,,,
ACINDIRMAQ,***,fel,,,,
ACINMAQ,***,,,,,
ACIŞDIRICI,***,sifət,,,,
ACIŞDIRMA,***,isim,,,,
ACIŞDIRMAQ,***,fel,,,,
ACIŞMA,***,isim,,,,
ACIŞMAQ,***,fel,,,,
ACITƏHƏR,***,sifət,,,,
ACITMA,***,isim,,,,
ACITMAQ,***,fel,,,,
ACITMAQ,***,fel,,,,
ACITMALI,***,sifət,,,,
ACITMALIQ,***,sifət,,,,
ACIYONCA,***,isim,,,,
ACIYOVŞAN,***,isim,,,,
ACİZ,***,sifət,,,,
ACİZANƏ,***,zərf,,,,
ACİZLƏŞDİRMƏ,***,fel,isim,,,
ACİZLƏŞDİRMƏK,***,fel,,,,
ACİZLƏŞMƏ,***,isim,,,,
ACİZLƏŞMƏK,***,fel,,,,
ACİZLİK,***,isim,,,,
ACQARINA,***,zərf,,,,
ACLIQ,***,isim,,,,
ACMA,***,isim,,,,
ACMAQ,***,fel,,,,
AC-SUSUZ,***,zərf,,,,
AC-YALAVAC,***,fel,isim,sifət,,
AÇAR,***,isim,,,,
AÇARÇI,***,isim,,,,
AÇARÇILIQ,***,isim,,,,
AÇARLI,***,sifət,,,,
AÇDIRMA,***,isim,,,,
AÇDIRMAQ,***,fel,,,,
AÇIQ,***,zərf,fel,isim,sifət,
AÇIQ-AÇIĞINA,***,zərf,,,,
AÇIQ-AŞKAR,***,sifət,zərf,,,
AÇIQ-AYDIN,***,sifət,zərf,,,
AÇIQCA,***,sifət,zərf,,,
AÇIQCASINA,***,sifət,zərf,,,
AÇIQDAN,***,zərf,,,,
AÇIQDAN-AÇIĞA,***,zərf,,,,
AÇIQFİKİRLİ,***,sifət,,,,
AÇIQFİKİRLİLİK,***,isim,,,,
AÇIQGƏZƏN,***,sifət,,,,
AÇIQGÖZ(LÜ),***,sifət,,,,
AÇIQGÖZLÜLÜK,***,isim,,,,
AÇIQLIQ,***,isim,,,,
AÇIQRAQ,***,sifət,,,,
AÇIQRƏNGLİ,***,,fel,isim,sifət,
AÇIQ-SAÇIQ,***,sifət,zərf,,,
AÇIQÜRƏKLİ,***,sifət,,,,
AÇIQÜRƏKLİLİK,***,isim,,,,
AÇILACAQ,***,isim,,,,
AÇILAN,***,isim,,,,
AÇILIŞ,***,isim,,,,
AÇILIŞMA,***,isim,,,,
AÇILIŞMAQ,***,fel,fel,,,
AÇILMA,***,isim,,,,
AÇILMAQ,***,fel,,,,
AÇILMAZ,***,sifət,,,,
AÇIM,***,isim,,,,
AÇIŞ,***,isim,,,,
AÇMA,***,fel,,,,
AÇMAQ,***,fel,isim,,,
AÇUN,***,,isim,,,
AD,***,isim,,,,
ADA,***,isim,,,,
ADAB,***,isim,,,,
ADACIQ,***,isim,,,,
ADADOVŞANI,***,isim,,,,
ADAX,***,isim,,,,
ADAXLAMA,***,isim,,,,
ADAXLAMAQ,***,fel,,,,
ADAXLANDIRMA,***,fel,,,,
ADAXLANDIRMAQ,***,fel,,,,
ADAXLANMA,***,fel,,,,
ADAXLANMAQ,***,fel,,,,
ADAXLI,***,fel,isim,sifət,,
ADAXLIBAZLIQ,***,isim,,,,
ADAXLILIQ,***,isim,,,,
ADAJİO,***,isim,,,,
ADAQ,***,isim,zərf,,,
ADAQ,***,isim,,,,
ADAQLAMAQ,***,fel,,,,
ADAQLANMAQ,***,fel,,,,
ADAQLI,***,fel,isim,sifət,,
ADAM,***,fel,isim,,,
ADAM-ADAMYANA,***,sifət,zərf,,,
